__time,PV
2022-04-10T04:00:00.000Z,12.39213222
2022-04-02T04:15:00.000Z,12.38921111
2022-04-09T01:30:00.000Z,12.37226778
2022-05-05T03:00:00.000Z,12.35339
2022-04-04T04:00:00.000Z,12.34834333
2022-04-23T03:15:00.000Z,12.34017889
2022-04-16T02:30:00.000Z,12.32095
2022-04-06T04:15:00.000Z,12.31748778
2022-04-19T01:45:00.000Z,12.30558111
2022-04-19T03:30:00.000Z,12.30506333
2022-04-03T04:00:00.000Z,12.30361889
2022-04-16T02:15:00.000Z,12.29219111
2022-04-08T04:00:00.000Z,12.29084667
2022-04-23T02:15:00.000Z,12.28767667
2022-04-08T01:30:00.000Z,12.28710333
2022-04-12T02:00:00.000Z,12.28368778
2022-05-05T03:15:00.000Z,12.28280778
2022-04-24T02:30:00.000Z,12.28111667
2022-04-03T01:15:00.000Z,12.27095
2022-04-24T02:45:00.000Z,12.27085111
2022-04-15T03:45:00.000Z,12.26495222
2022-04-07T04:15:00.000Z,12.26300444
2022-04-24T01:45:00.000Z,12.25654778
2022-05-05T03:30:00.000Z,12.25282444
2022-04-12T02:15:00.000Z,12.25166778
2022-04-16T03:15:00.000Z,12.25146556
2022-04-11T03:30:00.000Z,12.24968778
2022-04-01T01:00:00.000Z,12.24658444
2022-03-31T04:30:00.000Z,12.2434
2022-04-11T01:45:00.000Z,12.22341
2022-03-29T04:30:00.000Z,12.20503778
2022-04-10T01:15:00.000Z,12.19322111
2022-04-09T03:45:00.000Z,12.18128778
2022-04-02T01:00:00.000Z,12.18112333
2022-04-30T01:45:00.000Z,12.17690778
2022-05-05T03:45:00.000Z,12.17572556
2022-03-31T00:30:00.000Z,12.17116533
2022-04-24T02:15:00.000Z,12.16704667
2022-04-07T02:15:00.000Z,12.16488667
2022-04-23T03:30:00.000Z,12.16281111
2022-04-04T04:15:00.000Z,12.16134333
2022-04-22T03:45:00.000Z,12.15735111
2022-04-01T04:30:00.000Z,12.12902333
2022-04-24T03:00:00.000Z,12.12007333
2022-04-16T03:30:00.000Z,12.11291222
2022-04-19T01:30:00.000Z,12.10910444
2022-04-02T04:30:00.000Z,12.09853667
2022-04-22T03:15:00.000Z,12.09648333
2022-03-30T01:45:00.000Z,12.09616667
2022-04-23T02:00:00.000Z,12.09246889
2022-04-24T01:30:00.000Z,12.08232889
2022-04-04T01:15:00.000Z,12.05998333
2022-04-15T04:00:00.000Z,12.04241222
2022-04-09T01:15:00.000Z,12.03452222
2022-04-19T01:15:00.000Z,12.02853222
2022-04-16T02:00:00.000Z,12.02268333
2022-04-06T04:30:00.000Z,12.01112
2022-04-30T02:15:00.000Z,12.00175333
2022-04-08T04:15:00.000Z,11.99480778
2022-04-06T01:00:00.000Z,11.98959444
2022-03-29T03:45:00.000Z,11.98923333
2022-04-23T03:45:00.000Z,11.97554667
2022-04-11T03:45:00.000Z,11.97253111
2022-05-06T03:30:00.000Z,11.94718556
2022-04-07T04:30:00.000Z,11.93288889
2022-03-31T01:45:00.000Z,11.92056889
2022-03-31T04:45:00.000Z,11.90997
2022-04-12T02:45:00.000Z,11.90745889
2022-04-16T03:45:00.000Z,11.90677444
2022-04-09T04:00:00.000Z,11.89923667
2022-04-11T01:30:00.000Z,11.89093889
2022-04-03T01:00:00.000Z,11.87379778
2022-04-09T03:15:00.000Z,11.87271178
2022-04-24T02:00:00.000Z,11.86692889
2022-04-24T03:30:00.000Z,11.86557778
2022-04-01T00:45:00.000Z,11.85824333
2022-04-04T04:30:00.000Z,11.84534333
2022-04-15T04:15:00.000Z,11.84086667
2022-05-01T02:45:00.000Z,11.83692444
2022-03-30T02:00:00.000Z,11.83018444
2022-04-01T04:45:00.000Z,11.80872
2022-04-10T04:30:00.000Z,11.80747667
2022-05-06T02:30:00.000Z,11.80095111
2022-05-01T02:30:00.000Z,11.77591778
2022-04-07T03:45:00.000Z,11.76750333
2022-05-07T03:00:00.000Z,11.76748111
2022-03-29T04:15:00.000Z,11.76347778
2022-04-04T01:00:00.000Z,11.76241111
2022-04-02T04:45:00.000Z,11.75988444
2022-05-22T03:15:00.000Z,11.75457778
2022-04-23T01:45:00.000Z,11.74985
2022-03-29T04:45:00.000Z,11.74228889
2022-05-01T03:00:00.000Z,11.73919667
2022-04-17T02:15:00.000Z,11.73900111
2022-03-29T02:15:00.000Z,11.73387667
2022-04-02T00:45:00.000Z,11.72962333
2022-03-29T03:00:00.000Z,11.71524333
2022-05-07T02:15:00.000Z,11.71278667
2022-04-07T02:00:00.000Z,11.70136667
2022-04-16T01:45:00.000Z,11.69784556
2022-05-06T02:15:00.000Z,11.69394667
2022-04-30T01:30:00.000Z,11.68613889
2022-04-15T01:15:00.000Z,11.68481556
2022-05-01T02:15:00.000Z,11.66990333
2022-05-06T02:45:00.000Z,11.65911444
2022-04-08T04:30:00.000Z,11.65773
2022-05-09T02:30:00.000Z,11.65518333
2022-04-15T02:15:00.000Z,11.65218022
2022-05-11T02:45:00.000Z,11.65025667
2022-04-06T04:45:00.000Z,11.62875222
2022-05-09T02:15:00.000Z,11.62708556
2022-05-08T03:00:00.000Z,11.62409111
2022-05-08T02:45:00.000Z,11.61902444
2022-05-11T02:30:00.000Z,11.61879667
2022-05-06T02:00:00.000Z,11.61090444
2022-05-08T02:15:00.000Z,11.60202
2022-05-03T02:45:00.000Z,11.60085333
2022-05-01T02:00:00.000Z,11.59605111
2022-05-02T02:15:00.000Z,11.59584333
2022-05-03T02:30:00.000Z,11.59213111
2022-04-09T04:15:00.000Z,11.59183556
2022-05-09T02:45:00.000Z,11.59032889
2022-05-11T03:00:00.000Z,11.58891556
2022-04-07T04:45:00.000Z,11.58863667
2022-04-16T04:00:00.000Z,11.58757667
2022-05-08T02:30:00.000Z,11.58136333
2022-05-08T04:15:00.000Z,11.57662778
2022-04-08T01:00:00.000Z,11.56723111
2022-05-06T01:45:00.000Z,11.56643556
2022-05-09T02:00:00.000Z,11.56575778
2022-05-01T03:15:00.000Z,11.55523667
2022-04-06T00:45:00.000Z,11.55193111
2022-05-02T02:30:00.000Z,11.55114222
2022-04-24T01:15:00.000Z,11.55091556
2022-05-09T03:00:00.000Z,11.54672111
2022-05-07T03:15:00.000Z,11.54176667
2022-05-06T03:00:00.000Z,11.53982222
2022-05-03T03:00:00.000Z,11.53819111
2022-04-22T02:00:00.000Z,11.53770333
2022-05-03T02:15:00.000Z,11.53495
2022-04-16T01:30:00.000Z,11.53281444
2022-05-02T02:45:00.000Z,11.52941556
2022-05-02T02:00:00.000Z,11.52314333
2022-06-03T03:30:00.000Z,11.52034222
2022-05-01T01:45:00.000Z,11.51855667
2022-04-22T03:30:00.000Z,11.51846556
2022-04-21T01:00:00.000Z,11.51645333
2022-04-11T04:00:00.000Z,11.50991667
2022-03-31T05:00:00.000Z,11.50636444
2022-04-24T03:45:00.000Z,11.50537444
2022-05-11T02:15:00.000Z,11.50195556
2022-04-21T03:00:00.000Z,11.49793333
2022-04-11T01:15:00.000Z,11.48531111
2022-05-02T03:00:00.000Z,11.48526444
2022-05-08T02:00:00.000Z,11.47428889
2022-05-02T01:45:00.000Z,11.47371222
2022-04-23T01:30:00.000Z,11.46017667
2022-05-10T02:45:00.000Z,11.45508
2022-04-10T03:00:00.000Z,11.45412778
2022-05-25T03:00:00.000Z,11.44402
2022-04-10T04:15:00.000Z,11.44205
2022-05-10T02:30:00.000Z,11.44128778
2022-05-16T02:30:00.000Z,11.43633889
2022-05-03T03:15:00.000Z,11.43620444
2022-05-09T03:15:00.000Z,11.43361889
2022-05-11T03:15:00.000Z,11.42971
